ds,yhat
2022-04-19,23.663857399067826
2022-04-20,39.291825914967845
2022-04-21,31.109466714814424
2022-04-22,26.114009506126365
2022-04-23,15.562780245907359
2022-04-24,12.860107695244821
2022-04-25,22.771431008750113
2022-04-26,21.102909863628287
2022-04-27,36.730878379557424
2022-04-28,28.54851917938138
2022-04-29,23.55306197072875
2022-04-30,13.001832710499327
2022-05-01,10.299160159857136
2022-05-02,20.210483473323777
2022-05-03,18.541962328220407
2022-05-04,34.16993084415547
2022-05-05,25.987571643990876
2022-05-06,20.99211443533113
2022-05-07,10.440885175108832
2022-05-08,7.738212624440685
2022-05-09,17.649535937920007
2022-05-10,15.981014792818552
2022-05-11,31.608983308736587
2022-05-12,23.42662410855783
2022-05-13,18.431166899873798
2022-05-14,7.879937639700792
2022-05-15,5.177265089053007
2022-05-16,15.088588402516246
2022-05-17,13.42006725741668
2022-05-18,29.048035773313906
